CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
101000468692,08/23/2012 10:25:19 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,INTERSECTION of W Cedar St & Pinckney St  Boston  MA  ,3,1B,8,A1,Beacon Hill,14,Ward 5,503,,INTERSECTION W Cedar St & Pinckney St,,42.34373,-71.141562,Self Service
101000468181,08/22/2012 11:07:33 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,26 Allston St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,A,26 Allston St,02134,42.35222,-71.13492,Constituent Call
101000468168,08/22/2012 11:07:18 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD, ,, ,, , ,, ,, ,,,42.3594,-71.0587,Constituent Call
101000468162,08/22/2012 11:07:09 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,41 Bakersfield St  Dorchester  MA  02125,7,03,3,C11,Dorchester,7,Ward 13,1306,R1,41 Bakersfield St,02125,42.31666,-71.06125,Constituent Call
101000468152,08/22/2012 11:07:00 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,36 Rockvale Cir  Jamaica Plain  MA  02130,9,02,6,E13,Jamaica Plain,11,Ward 11,1107,R3,36 Rockvale Cir,02130,42.30714,-71.10473,Constituent Call
101000467774,08/21/2012 03:38:36 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,75 Sydney St  Dorchester  MA  02125,7,03,3,C11,Dorchester,7,Ward 13,1310,E,75 Sydney St,02125,42.3141,-71.05252,Constituent Call
101000467567,08/21/2012 11:34:15 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,40-42 Cedar Lane Way  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,511,R2,40-42 Cedar Lane Way,02114,42.358333,-71.07017,Constituent Call
101000467084,08/20/2012 02:16:19 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,5110 Washington St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,10,Ward 20,2003,A,5110 Washington St,02132,42.26355,-71.15403,Constituent Call
101000466977,08/20/2012 11:58:28 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,43 Hemenway St  Boston  MA  02115,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 4,407,R4,43 Hemenway St,02115,42.34542,-71.08977,Constituent Call
101000465542,08/16/2012 12:26:29 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,26 Fenway   Boston  MA  02215,4,10A,8,D4,Boston,14,04,407,E,26 Fenway ,02215,42.3458,-71.09009,Constituent Call
